Plot,Bin Number
HY1,9
HY2,6
HY3,8
HY4,7
HY5,8
HY6,9
HY7,7
HY8,7
HY9,6
HY10,9
HY11,9
HY12,8
HY13,9
HY14,
HY15,
CD1,9
CD2,9
CD3,9
CD4,9
CD5,8
CD6,
CD7,
CD8,
CD9,
CD10,
MF1,1
MF2,0
MF3,1
MF4,0
MF5,0
MF6,0
MF7,7
MF8,5
MF9,0
MF10,0
MF11,1
MF12,0
MF13,0
MF14,0
MF15,0
MF16,6
MF17,6
MF18,7
MF19,4
MF20,5
DP1,0
DP2,0
DP3,0
DP4,
DP5,
WP1,0
WP2,
WP3,
WP4,
WP5,
WP6,
WP7,
WP8,
WP9,
WP10,
WP11,
WP12,0
WP13,0
WP14,0
WP15,0
WP16,
WP17,
WP18,
WP19,
WP20,
SF1,6
SF2,6
SF3,7
SF4,7
SF5,6
SF6,7
SF7,0
SF8,4
SF9,0
SF10,6